Subject,Question,Answer
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Como é definida a data da visita?,"A data da visita é comunicada pelo Sistema e-MEC ao Procurador Educacional Institucional (PI) da avaliada, que encaminha as informações para os gabinetes do Reitor e Vice-Reitor e ao coordenador do curso."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Os avaliadores podem fazer recomendações a instituição avaliada?,"Não. Os avaliadores designados pelo Inep são impedidos de qualquer sugestão ou recomendação às IES avaliadas, conforme dita a Portaria Normativa nº 40/2007."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),O que é analisado durante a visita in loco?,"Todos os itens informados no FE-1 e no FE-2 (referente aos 3 últimos anos), além da comprovação física dos documentos de qualificação do corpo docente; atas de reuniões de colegiados de curso, de NDE; planos de aula e lista de ofertas; planos de atuação da coordenação e relatórios de atividades do coordenador; plano de atuação do NDE e relatório de atividades do NDE, ambos aprovados pelo Colegiado, e acompanhado por mecanismos de controle; atos de nomeação de coordenador, de constituição de NDE, além de Regulamentos de NDE, de estágio, de extensão, de atividades complementares, de TCC, etc. Estudo sobre o quantitativo de vagas do curso, que justifiquem a manutenção e/ou aumento e/ou diminuição. Entre outros documentos que podem ser solicitados na sugestão de “Agenda de Visita” que os avaliadores in loco encaminharam para o coordenador do curso."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),E a visita às instalações?,"Sugere-se que prepare um roteiro que otimize o tempo dos avaliadores durante a caminhada na Universidade. Recomenda-se que a primeira reunião da comissão ocorra no DEG (reitoria), com a presença do(a) Procurador(a) Institucional (PI), Diretor(a) da Unidade, Chefe do Departamento, Coordenador(a) [anfitrião(ã)] e os(as) avaliadores(as). Nessa visita o PI fará uma apresentação da UnB e do curso no contexto da UnB. Reserve 30 a 40 minutos. Após a reunião na reitoria (para agendar envie email para Este endereço de email está sendo protegido de spambots. Você precisa do JavaScript ativado para vê-lo.), recomenda-se já ir à BCE (reserve 30 a 40 minutos), que é ao lado; ligar e marcar com o(a) Diretor(a), que nos recebe na porta e faz uma apresentação além de conduzir a visita – (não fique surpreso na hora da visita, afinal você conhece profundamente a BCE da UnB), em seguida, caminhar/dirigir para sua unidade, passando por auditórios, sala de aula, laboratórios, gabinetes docentes, espaços de convivência, ou outros setores que a agenda do avaliador sugerir. Até o retorno dos avaliadores para a sala reservada."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),E as reuniões com a comunidade do curso?,"Prepare o grupo para estar no horário e local previamente designado para a reunião da Comissão de avaliação. A primeira reunião do dia é com o coordenador(a), que apresenta a sala em que irão trabalhar, apresenta a disposição dos documentos, e possíveis andamentos da avaliação – é aqui que eles já indicam os exemplares de livros que gostariam de visualizar na BCE, já para adiantar a visita lá na BCE.
 
Em seguida, prepare-se convidando o NDE, que após de sua reunião, comporão o grupo de professores (representado o colegiado), outro grupo de estudantes. Pergunte a comissão se sua presença é necessária nestas reuniões – caso contrário, deixe o grupo mais à vontade – O diretor e Chefe de Departamento também seguem o mesmo princípio.
 
Há uma reunião com membros da Comissão Própria de Avaliação (CPA) – ela que fornece dados sobre Evasão, Qualificação do Curso, Egressos, envie um e-mail para Este endereço de email está sendo protegido de spambots. Você precisa do JavaScript ativado para vê-lo. e acesse www.cpa.unb.br, para maiores informações de como seu curso está caracterizado no âmbito da avaliação institucional. Essa reunião, poderá ou não contar com a presença do(a) coordenador(a)."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),É só isso?,"Não. Recomenda-se durante a visita, disponibilizar uma sala reservada com dois computadores ou notebooks, linha telefônica sem bloqueios, impressora. Todos os documentos disponíveis em meio digital e/ou físico.
 
É sugerido, caso os avaliadores solicitem, que a Unidade indique hotéis compatíveis com as diárias federais, que fiquem próximo à Universidade e próximo a locais de acesso à alimentação.
 
A UnB não disponibilizará transporte oficial para avaliadores no trajeto aeroporto-hotel-aeroporto, contudo, não proíbe o ato de gentileza dos professores da Unidade em Avaliação, caso o coordenador verifique a possibilidade de oferecer essa benesse, sem ofender aos avaliadores. O mesmo se aplica ao translado hotel-Universidade e Universidade-Hotel (durante os dois dias de visita). Assim, como, também não proíbe, que na sala dos avaliadores, além da água, contenha café e um biscoito ou lanche para passar o dia).
 
Para o bom andamento da visita, recomenda-se que fique disponível na Unidade, um técnico de informática para eventuais problemas, e que o coordenador esteja acompanhando a visita o tempo todo, inclusive nos horários de almoço, juntamente com a comissão – nessa hora, a equipe gestora poderá auxiliá-lo almoçando junto com a equipe.
 
Recomendamos que o restaurante escolhido seja próximo a Unidade, pois o tempo é curto para realização da visita e estabelecer as reuniões durante a vista. Cada pessoa paga por sua refeição – não se recomenda pagar refeições aos avaliadores."
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,Porque não tem vaga para todos os cursos no processo de mudança de curso?,"A mudança e curso e a dupla diplomação fazem parte da política institucional de gestão de vagas residuais, ou seja, as vagas ofertadas nesses processos são aquelas não ocupadas nos processos seletivos primários, como vestibular, PAS e Acesso Enem, pois isso alguns cursos tiveram todas as vagas preenchidas."
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,"E quanto à dupla diplomação, também é só para alguns cursos?","As vagas de dupla diplomação seguem a mesma lógica, mas nesse caso o curso pode decidir por aumentar o número de vagas para atender mais classificados, mediante disponibilidade. Atentar para a retificação do edital que inclui agora essa informação!"
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,Quando será o ingresso dos selecionados?,"Os classificados no edital aberto para inscrição até 13/02/2021 ingressarão no novo curso no próximo semestre, ou seja, 2022.1"
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,A dupla diplomação só se aplica para outra as habilitações do mesmo curso?,"Não, é possível se candidatar a dupla diplomação para qualquer curso da UnB para o qual se tenha integralizado pelo menos 70% dos componentes (disciplinas)."
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,Preciso ter certificado de habilidade específica para solicitar dupla diplomação em Arquitetura ou Design Gráfico?,Sim. Os cursos que exigem habilidade específica estão marcados com um asterisco na tabela de vagas disponibilizada no edital.
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,"Quanto à mudança de turno, vai ter edital para essa opção?","Não existe mais edital de mudança de turno, pois turnos distintos são entendidos como cursos distintos. Assim, é possível “mudar de turno” por meio do mesmo edital DEG/SAA 01/2022, é só solicitar a mudança para o curso no turno desejado."
Dupla Diplomação e Mudança de Curso - Perguntas Frequentes,E o Edital para segunda graduação e para transferência?,"Esses são os editais de PORTADOR DE DIPLOMA DE NÍVEL SUPERIOR (DCS) e TRANSFERÊNCIA FACULTATIVA (TF), voltados para o ingresso de candidatos externos. Esses só serão publicados após o resultado do edital de mudança de curso e dupla diplomação, seguindo a Resolução CEPE N° 126/2021."
Estágio - Perguntas Gerais,Quais são as modalidades de estágio?,"Existem 02 (duas) modalidades de estágio: Estágio obrigatório e Estágio não obrigatório. O Estágio obrigatório é parte do requisito para a conclusão do curso, e o cumprimento da sua carga horária é condição sine qua non para a obtenção do diploma. O Estágio Não Obrigatório é uma atividade opcional ou complementar regulamentada por cada curso, que poderá ser acrescida, a critério de cada curso, à carga horária regular e obrigatória"
Estágio - Perguntas Gerais,"As atividades de extensão, de monitorias e de iniciação científica na educação superior desenvolvidas pelo estudante podem ser equiparadas ao estágio?","Sim, mas somente quando no projeto pedagógico dos cursos da educação superior for prevista a equiparação dessas atividades com o estágio."
Estágio - Perguntas Gerais,Pode ser concedido estágio a estudantes estrangeiros?,"Sim. Segundo a legislação vigente, os estudantes estrangeiros regularmente matriculados em cursos superiores no Brasil, autorizados ou reconhecidos, podem se candidatar ao estágio, desde que o prazo do visto temporário de estudante seja compatível com o período previsto para o desenvolvimento das atividades."
Estágio - Perguntas Gerais,O estágio é uma relação de emprego?,"Não. O estágio não caracteriza vínculo de emprego de qualquer natureza, desde que observados os requisitos legais, não sendo devidos encargos sociais, trabalhistas e previdenciários."
Estágio - Perguntas Gerais,Quais requisitos devem ser observados na concessão do estágio?,"I- matrícula e frequência regular do educando público-alvo da lei II - celebração de termo de compromisso entre o educando, a parte concedente do estágio e a instituição de ensino;III - compatibilidade entre as atividades desenvolvidas no estágio e as previstas no termo de compromisso."
Estágio - Perguntas Gerais,O estágio deve ter acompanhamento efetivo pelo professor orientador da instituição de ensino e pelo supervisor da parte concedente?,"Sim. O estágio como ato educativo escolar supervisionado deve ter acompanhamento efetivo pelo professor orientador da instituição de ensino e pelo supervisor da parte concedente, comprovado por vistos nos relatórios de atividades (em prazo não superior a seis meses) e por menção de aprovação final."
Estágio - Perguntas Gerais,Qual o papel do professor orientador da instituição de ensino?,"O professor orientador deve ser da área a ser desenvolvida no estágio, e será o responsável pelo acompanhamento e avaliação das atividades do estagiário."
Estágio - Perguntas Gerais,Quem deverá ser o supervisor do estagiário da parte concedente?,"O supervisor do estagiário da parte concedente deve ser funcionário do seu quadro de pessoal, com formação ou experiência profissional na área de conhecimento desenvolvida no curso do estagiário."
Estágio - Perguntas Gerais,A atividade a ser exercida pelo estagiário deve estar relacionada com a sua formação educacional?,"Sim, o estágio deve estar relacionado com a formação educacional do estagiário, ou seja, deve ser compatível com o projeto pedagógico do seu curso."
Estágio - Perguntas Gerais,Qual a duração máxima da jornada de atividade de estágio?,"A jornada de atividade em estágio não deve ultrapassar:a) 4 (quatro) horas diárias e 20 (vinte) horas semanais, no caso de estudantes de educação especial e dos anos finais do ensino fundamental na modalidade profissional de educação de jovens e adultos;b) 6 (seis) horas diárias e 30 (trinta) horas semanais, no caso de estudantes do ensino superior, da educação profissional de nível médio e do ensino médio regular;c) 40 (quarenta) horas semanais, no caso do estágio relativo a cursos que alternam teoria e prática, nos períodos em que não estão programadas aulas presenciais, desde que previsto no projeto pedagógico do curso e da instituição de ensino."
Estágio - Perguntas Gerais,Qual o prazo máximo de duração do estágio na mesma concedente?,"Até dois anos, para o mesmo concedente, exceto quando se tratar de estagiário portador de deficiência."
Estágio - Perguntas Gerais,Quando o estágio deve ser obrigatoriamente remunerado (concessão de bolsa ou outra forma de contraprestação)?,No caso do estágio não obrigatório é compulsória a concessão de bolsa ou outra forma de contraprestação que venha a ser acordada no Termo de Compromisso do Estágio.Somente no caso de estágio obrigatório é que a concessão de bolsa ou outra forma de contraprestação é facultativa.
Estágio - Perguntas Gerais,O estagiário tem direito a recesso?,"Sim. É assegurado ao estagiário, sempre que o estágio tenha duração igual ou superior a 1 (um) ano, período de recesso de 30 (trinta) dias.Nos casos de o estágio ter duração inferior a 1 (um) ano os dias de recesso serão concedidos de maneira proporcional.O recesso poderá ser concedido em período contínuo ou fracionado, conforme acordado entre as partes, preferencialmente nas férias escolares."
Estágio - Perguntas sobre Convênios,O que é um convênio?,É um instrumento jurídico a ser celebrado entre a instituição de ensino UnB e a entidade/empresa que concederá estágios para os alunos da graduação que necessitam fazer estágio curricular obrigatório ou não obrigatório.
Estágio - Perguntas sobre Convênios,Quando é necessário celebrar o convênio?,"A celebração do convênio é necessária quando o estágio for obrigatório com pagamento de bolsa e para os estágios Não Obrigatório. Para estágio na modalidade obrigatório sem pagamento de bolsa, o convênio é facultado ao interesse das partes, neste caso a UnB não exige o convênio."
Estágio - Perguntas sobre Convênios,Quem poderá firmar convênio?,"As pessoas jurídicas de direito privado e os órgãos da administração pública direta, autárquica e fundacional de qualquer dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios, bem como profissionais liberais de nível superior devidamente registrados em seus respectivos conselhos de fiscalização profissional."
Estágio - Perguntas sobre Convênios,Quais são os documentos necessários para a realização do convênio?,"Para Administração Direta – (Ministérios e etc.), Indireta (Autarquias, Fundações e etc.) e Terceiro Setor (ONG, Ordens, Institutos, Associações e etc.): Ato constitutivo, Estatuto em vigor; Ato de designação de quem assinará o Convênio; Documento de Identidade do responsável pela assinatura do convênio; Certidões negativas de débitos do INSS/Receita Federal, FGTS e Trabalhista e o Cartão do CNPJ, todos em formato pdf. Ficha Cadastral preenchida, em formato word (os dados serão utilizados para preenchimento do termo de convênio e do plano de trabalho)."
Estágio - Perguntas sobre Convênios,Quais são os documentos necessários para a realização do convênio?,"Para Empresas: Contrato Social/Estatuto Social; ou Ata de assembleia, constando a indicação ou substituição do sócio ou responsável pela assinatura do convênio. Caso a empresa tenha definido em contrato social que a assinatura deverá ser realizada por um procurador, deverá enviar a procuração. Documento de Identidade do responsável pela assinatura; Certidões negativas de débitos do INSS/Receita Federal, FGTS e Trabalhista e o Cartão do CNPJ, todos em formato pdf. Ficha Cadastral preenchida, em formato word, (os dados serão utilizados para preenchimento do termo de convênio e do plano de trabalho)."
Estágio - Perguntas sobre Convênios,Quais são os documentos necessários para a realização do convênio?,"Para Profissionais Liberais: Cópia do Registro no Conselho de Classe atualizado, Cópia do Comprovante de Residência, RG/CPF, em formato pdf e Ficha Cadastral preenchida, em formato word (os dados serão utilizados para preenchimento do termo de convênio e do plano de trabalho)."
Estágio - Perguntas sobre Convênios,Como devo enviar os documentos?,Os documentos devem ser enviados para o e-mail: Este endereço de email está sendo protegido de spambots. Você precisa do JavaScript ativado para vê-lo..
Estágio - Perguntas sobre Convênios,Como será a tramitação do processo?,"Após receber todos os documentos, o processo será iniciado no SEI – Sistema Eletrônico de Informação. O convênio será assinado primeiramente pelo Decano de Ensino de Graduação, em seguida pela empresa/órgão público, a assinatura é eletrônica no sistema SEI. Todas as orientações serão enviadas para o e-mail do responsável legal, conforme indicado pela empresa."
Estágio - Perguntas sobre Convênios,Quando o convênio se torna vigente?,O convênio ficará vigente após a assinatura do Representante Legal da Empresa nas minutas de Convênio e Plano de Trabalho. Após a assinatura o convênio terá vigência de 05(cinco) anos.
Estágio - Perguntas sobre Convênios,Quando posso emitir o TCE?,"O Termo de Compromisso de Estágio só poderá ser emitido após o convênio se tornar vigente. O estágio só poderá iniciar, após assinatura do TCE por todas as partes."
Estágio - Perguntas sobre Convênios,Para onde devo enviar o TCE?,O TCE deverá ser enviado para o e-mail da Coordenação do Curso do estudante. Eles iniciarão o processo no SEI.
Estágio - Perguntas sobre Convênios,Onde posso encontrar o endereço de e-mail das Coordenações dos Cursos?,"Acessando o link: http://noticias.unb.br/images/Telefones_unb/mprazer.pdf, ou diretamente com estudante interessado."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,O que é o estágio?,"Estágio é o ato educativo escolar supervisionado, desenvolvido no ambiente de trabalho, que visa à preparação para o trabalho produtivo de educandos que estejam frequentando o ensino regular em instituições de educação superior, de educação profissional, de ensino médio, da educação especial e dos anos finais do ensino fundamental, na modalidade profissional da educação de jovens e adultos. (Art. 1º da Lei nº 11.788/2008)."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Qual a importância do estágio?,"É etapa obrigatória e essencial para a qualificação plena do licenciando. Por meio dessa vivência no campo de trabalho, é que se começa a adquirir a dimensão da realidade educacional, com orientação que o aluno tem oportunidade de entrar em contato direto com a sua futura realidade profissional, vivenciando na prática supervisionada experiências e situações reais da vida e do trabalho, permitindo a consolidação dos conteúdos e conceitos teóricos já aprendidos em sala de aula."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Quais são as normas que regulamentam os estágios supervisionados?,"Há quatro documentos que devem ser observados em relação ao Estágio Supervisionado: a) No âmbito Federal, a Lei Federal nº 11.788/2008; b) No âmbito da UnB, a Resolução 104/2021 do CEPE; c) No âmbito pedagógico, as DCNs dos Cursos; d) No âmbito dos Cursos, os Projetos Político Pedagógicos do Curso.
 
1.4.1 Página com vídeos e links úteis:DEG - Estágios Obrigatórios das Licenciaturas"
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,As disciplinas de estágio podem receber outra denominação nos Cursos da UnB?,"Não. De acordo com a Resolução do Conselho de Ensino Pesquisa e Extensão da UnB nº 104/2021, as disciplinas de Estágio Obrigatório devem ser nomeadas como ESTÁGIO."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Quais requisitos devem ser observados na concessão do estágio e documentos necessários à comprovação da regularidade do estágio?,"O estágio não cria vínculo empregatício de qualquer natureza, mas devem ser observados os seguintes requisitos:
Matrícula e frequência regular do educando, atestados pela instituição de ensino;
Solicitação prévia de matrícula na disciplina de estágio, no caso de estágio obrigatório;"
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Pode ocorrer estágio durante o período de trancamento do curso?,"Não pode ocorrer o estágio no caso de trancamento ou integralização do curso, uma vez que um dos requisitos para realização do estágio é a matrícula e a frequência regular do educando. Bem assim, o aluno só poderá permanecer no estágio enquanto estiver devidamente matriculado na UnB, ou seja, enquanto estiver ativo no SIGAA."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Pode-se iniciar o estágio sem a documentação (Termo de compromisso e Plano de atividades) assinada pelos envolvidos?,"Não. O Termo de Compromisso é o único documento que comprova legalmente a relação de estágio, portanto o estágio só poderá ser iniciado com a assinatura do Termo de Compromisso e do Plano de Atividades."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Qual a duração permitida para a jornada de estágio?,"Segundo o Art. 10º da Resolução 104/2021 do CEPE a carga horária das atividades de Estágio será definida em comum acordo entre a Instituição de Ensino, a parte concedente e o(a) Estagiário(a), não podendo ultrapassar o total de 30 (trinta) horas semanais, considerando o somatório de Estágios Obrigatórios e Não Obrigatórios realizados simultaneamente.
§1º O(A) Estudante poderá, excepcionalmente, cumprir jornada de Estágio superior a 30 (trinta) horas semanais, não mais que 40 (quarenta) horas, resguardados os limites e requisitos legais, desde que não esteja cursando componentes curriculares presenciais obrigatórios, optativos e/ou módulo livre nos horários dedicados às atividades de Estágio.
Essa condição, necessariamente, deve estar prevista no Projeto Pedagógico do Curso."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,O estagiário tem direito ao seguro contra acidentes pessoais?,"Sim. Todo estagiário tem que ter Seguro Contra Acidentes Pessoais; Consoante previsto no art. 9o, inc. IV, da Lei 11.788/2008. Todos os estagiários da UnB estão assegurados. Para a consulta do modelo da apólice, acesse o link: http://deg.unb.br."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,Os estágios devem ser presenciais?,"As condições de realização do estágio são acordadas entre o professor supervisor da UnB, o estudante e o professor da escola.
No caso específico da Secretaria de Educação do DF, os estágios supervisionados de licenciatura na SEEDF são realizados de forma presencial. Em casos especiais, como no caso da pandemia de Covid-19, podem ocorrer alterações na forma de realização dos estágios, mas, para que isso ocorra,deve haver celebração de um Termo Aditivo no convênio realizado entre a SEEDF e a UnB."
Estágio Supervisionado das Licenciaturas - Perguntas Frequentes,"Quais são as três etapas dos estágios, às quais devo prestar mais atenção?","Há três momentos importantes na realização dos estágios supervisionados:
a) O início do estágio: etapa onde o docente da UnB irá orientar os estagiários sobre os objetivos pedagógicos da disciplina e irá orientar os ""estudantes"" a encontrarem um local para realização de estágio e a preencher a documentação necessária; Preenchimento da documentação de estágio. b) A realização do estágio na escola: nessa etapa o estudante irá a campo para vivenciar sua experiência de estágio supervisionado, sempre acompanhado do professor supervisor da escola;É recomendável que o estudante leve uma carta de recomendação do professor da UnB e que haja constante diálogo entre os docentes e o estagiário.
c) Finalização do estágio: a finalização do estágio também deve obedecer a requisitos pedagógicos e legais.Por ser caracterizado como atividade de caráter pedagógico, o estagiário deverá preparar os relatórios acordados com o professor da UnB.Na parte legal, o estagiário deverá entregar o Relatório de Conclusão de estágio e postá-lo no SIGAA."
